Codice,Autore,Titolo,Editore,Anno,Luogo,Pagine,Classificazione
L271,George Orwell,Nineteen Eighty-four,Penguin,,,0,Romanzo
L109,"Carlo Conti, E. Giovannini, L. Siano",Noi che... I migliori anni,Mondadori,,,0,Attualita
L27,vuoto,vuoto,vuoto,,,0,Animali
L347,Margaret Mazzantini,Non Ti Muovere,Mondadori,,,0,Romanzo
L232,Alberto Burgio,Nonostante Auschwitz. Il ritorno del razzismo in Europa,Deriveapprodi,,,0,Saggi
L63,Carlo Tronchetti,Nora,Delfino Carlo Editore,,,0,Archeologia
L412,Giovanni Boccaccio,Novelle dal Decameron,Vallardi A.,,,0,Letteratura
L233,Paulo Coelho,O Alquimista,"Bertrand, Livraria",,,0,Romanzo
L116,Antonio Gramsci,Odio gli indifferenti,Chiarelettere,,,0,Saggi
L169,Francis Scott Fitzgerald,Il grande Gatsby,Feltrinelli,,,0,Romanzo
L51,Omero,Odissea. Ediz. integrale,Newton Compton,,,0,Letteratura
L101,Charles Dickens,Oliver Twist: 2500 Headwords (Oxford Bookworms Library),Oxford University Press,,,0,Romanzo
L283,Ian McEwan,On Chesil Beach,Vintage,,,0,Romanzo
L532,Marquez Gabriel Garcia,Opere narrative. Vol. 1,Mondadori,,,0,Letteratura
L533,Marquez Gabriel Garcia,Opere narrative. Vol. 2,Mondadori,,,0,Letteratura
L17,"Giacomo Leopardi, A. Prete",Operette Morali,Universale Economica. I Classici,,,0,Letteratura
L468,"Kevin Loney, Marlene Theriault",Oracle 9i DBA. Implementazioni di soluzioni amministrative per esperti,McGraw-Hill Oracle Press,,,0,Informatica
L594,Michael McLaughlin,Oracle Database 10g Express Edition PHP Web Programming (Osborne ORACLE Press Series),McGraw-Hill Osborne Media,,,0,Informatica
L464,Edward Whalen,Oracle Database 10g. Amministrazione in Linux,McGraw-Hill Companies,,,0,Informatica
L466,"Scott Hurman, Ron Hardman, Michael McLaughin",Oracle Database 10g. Programmazione PL/SQL,McGraw-Hill Oracle Press,,,0,Informatica
L467,Jason Price,Oracle Database 10g. SQL,McGraw-Hill Oracle Press,,,0,Informatica
L465,"Lawrence C. Linnemeyer, Bradley D. Brown",Oracle HTML DB. Applicazioni Express,McGraw-Hill Oracle Press,,,0,Informatica
L89,Wilbur Smith,Orizzonte,RL Libri,,,0,Romanzo
L70,Marco Del Freo,Orizzonte bianco. Scoperte scientifiche e avventura umana nella base italiana in Antartide,Sperling,,,0,Saggi
L372,Karen Blixen,Out of Africa (Penguin Modern Classics),Penguin Classics,,,0,Romanzo
L42,"Albert Sydney Hornby, Sally Wehmeier",Oxford Advanced Learner's Dictionary,Oxford University Press,,,0,Lingue
L100,"Catherine Soanes, Angus Stevenson",Oxford dictionary of English.,Oxford University Press,,,0,Lingue
L592,vuoto,OXFORD STUDY per studenti d'inglese,Oxford University Press,,,0,Lingue
L638,WilliamSomerse Maugham,Painted Veil,VINTAGE,,,0,Romanzo
L208,Antonio Pennacchi,Palude,I Tascabili,,,0,Romanzo
L390,Christin Jacq,Paneb,Mondadori,,,0,Romanzo
L247,Umberto Eco,Pape Satan Aleppe: Cronache di una società liquida,La nave di Teseo,,,0,Saggi
L242,Danila Comastri Montanari,Parce sepulto,Hobby Work Publishing,,,0,Romanzo
L272,"Paolo Puntoni, Renzo De Felice",Parla Vittorio Emanuele III,Il Mulino,,,0,Storia
L396,"Giobbe Covatta, stefano disegni",Parola Di Giobbe,adriano salani editore,,,0,Attualita
L163,Roberta Ferraris,"Pasta madre. Tutto ciò che devi sapere per produrla, conservarla e utilizzarla al meglio",Terre di Mezzo,,,0,Cucina
L555,"Alessandro Bellini, Andrea Guidi",Perl e Internet,McGraw-Hill Companies,,,0,Informatica
L591,Marisa Padovani,Photoshop CS,Apogeo,,,0,Informatica
L326,Scott Kelby,Photoshop CS5 per la fotografia digitale,Pearson,,,0,Informatica
L557,"Andi Gutmans, Stig Bakken, Derick Rethans",PHP 5 Guida completa,Apogeo,,,0,Informatica
L590,vuoto,PHP 5. Guida per lo sviluppatore,Hoepli,,,0,Informatica
L446,Lin Anderson,Picture Her Dead (Rhona MacLeod),Hodder Stoughton,,,0,Gialli
L266,Angelo Petrella,Pompei. L'incubo e il risveglio,Rizzoli,,,0,Storia
L261,Anna Foa,Portico d'Ottavia n. 13. Una casa del ghetto nel lungo inverno del '43,Laterza,,,0,Romanzo
L548,Mark Mamone,Practical Mono (Expert's Voice in Open Source),Apress,,,0,Informatica
L322,Jane Austen,Pride and Prejudice: 2500 Headwords (Oxford Bookworms Library),Oxford University Press,,,0,Romanzo
L147,"Bart D. Ehrman, M. Grosso","Prima dei vangeli. Come i primi cristiani hanno ricordato, manipolato e inventato le storie su Ges?",Carocci,,,0,Storia
L344,John Ingledew,Professione: fotografo,Logos,,,0,Fotografia
L589,"Mark Lutz, David Asher",Programmare con Python,Hoepli,,,0,Informatica
L588,Cesare Rizzi,Progressive & Underground,Giunti Editore,,,0,Musica
L484,Erich Fromm,Psicoanalisi dell'amore,Newton Compton,,,0,Psicologia
L150,Antonio Manzini,Pulvis et umbra,Sellerio Editore Palermo,,,0,Romanzo
L587,Marco Beri,Python,Apogeo,,,0,Informatica
L430,Wilbur Smith,Quando vola il falco,Tea,,,0,Romanzo
L81,"Agatha Christie, M. G. Griffini, L. Lax",Quattro casi per Hercule Poirot,Mondadori,,,0,Gialli
L413,Hermann Hesse,Racconti,Newton Compton,,,0,Racconti
L536,Franz Kafka,Racconti,Mondadori,,,0,Racconti
L586,Doris Lessing,Racconti africani,Feltrinelli,,,0,Racconti
L585,Doris Lessing,Racconti Londinesi,Feltrinelli,,,0,Racconti
L529,Franco Cimmino,Ramesses II Il Grande,Rusconi,,,0,Romanzo
L408,vuoto,Ramses 4 Regina DI Abu Simbel (Italian Edition),Mondadori,,,0,Storia
L409,vuoto,Ramses o Dimora Millenaria (Italian Edition),Mondadori,,,0,Storia
L407,Christian Jacq,Ramses: L'ultimo nemico,Mondadori,,,0,Romanzo
L80,"Marco Travaglio, Peter Gomez",Regime,BUR Biblioteca Univ. Rizzoli,,,0,Saggi
L471,Andrews Tanenbaum,Reti di Computer,UTET,,,0,Informatica
L26,"Zygmunt Bauman, M. Cupellaro",Retrotopia,Tempi Nuovi,,,0,Sociologia
L583,Roberto Fanchini,Rhinoceros. Guida all'uso,FAG,,,0,Informatica
L250,"Costantino D'Orazio, Mimmo Paladino","Ritratti romani. Chi ha costruito Roma, come e perchè",Palombi Editori,,,0,Saggi
L12,Italo Insolera,Roma fascista: Nelle fotografie dell'Istituto Luce (L'immagine e la storia),Editori riuniti,,,0,Storia
L173,"Ginevra Lovatelli, Adriano Morabito, Marco Gradozzi",Roma insolita e segreta. Ediz. a colori,Jonglez,,,0,Arte
L323,Mario Sconcerti,Romolo. L'alba di Roma da riscrivere,Dalai Editore,,,0,Storia
L593,Stephen King,Running Man,Penguin Books Australia,,,0,Romanzo
L210,Alberto Angela,San Pietro. Segreti e meraviglie in un racconto lungo duemila anni,Di Tutto Di Pi?,,,0,Arte
L235,Danila Comastri Montanari,Saturnalia,Mondadori,,,0,Romanzo
L220,Danila Comastri Montanari,Scelera,Hobby Work Publishing,,,0,Romanzo
L519,"Rob Humphreys, Donald Reid",Scozia,Vallardi Viaggi,,,0,Viaggi
L312,300.000. Ediz. multilingue,"Scozia, Inghilterra del Nord 1:300.000. Ediz. multilingue",Marco Polo,,,0,Viaggi
L492,Oriana Fallaci,Se il Sole Muore,BUR Biblioteca Univ. Rizzoli,,,0,Romanzo
L97,"Peter Gomez, Marco Travaglio",Se li conosci li eviti,Chiarelettere,,,0,Attualita
L56,Andrew Yule,Sean Connery: Neither Shaken nor Stirred,"Little, Brown Book Group",,,0,Biografia
L321,Jackie Maguire,Seasons and Celebrations (Oxford Bookworms Library),Oxford University Press,,,0,Lingue
L280,Lilla Salgado,Sebastiao Salgado. Genesis,Taschen,,,0,Fotografia
L420,Luigi Pirandello,Sei Personaggi in Cerca d'Autore / Enrico IV (Italian Edition),Mondadori,,,0,Letteratura
L581,"Mark Wilding, Dan Behman",Self service Linux,Apogeo,,,0,Informatica
L105,Dino Buzzati,Sessanta Racconti,Mondadori,,,0,Racconti
L483,Sigmund Freud,Sessualità e vita amorosa,Newton Compton,,,0,Psicologia
L188,Carlo Rovelli,Sette brevi lezioni di fisica,Adelphi,,,0,Fisica
L582,Sir Arthur Conan Doyle,Sherlock Holmes Short Stories: 700 Headwords (Oxford Bookworms Library),Oxford University Press,,,0,Lingue
L414,Hermann Hesse,Siddharta,Adelphi,1996,,0,Romanzo
L580,"Ramez A. Elmasri, Shamkant B. Navathe",Sistemi di basi di dati,Pearson Education Italia,,,0,Informatica
L291,Robert Capa,Slightly Out of Focus (Modern Library War),Modern Library,,,0,Storia
L398,Luciano De Crescenzo,Socrate,A. Mondadori,,,0,Filosofia
L538,Giuseppe Gioachino Belli,Sonetti,Mondadori,,,0,Poesia
L238,Danila Comastri Montanari,"Spes, ultima dea",Hobby Work Publishing,,,0,Romanzo
L579,Mario Biey,Spice e PSpice. Introduzione all'uso,CLUT,,,0,Elettronica
L211,"Mary Beard, A. Piccato",SPQR. Storia dell'antica Roma,Mondadori,,,0,Storia
L82,Paolo Villaggio,Storia della libertà di pensiero,Feltrinelli,,,0,Sociologia
L528,Franco Cimmino,Storia delle Piramidi,Rusconi,,,0,Storia
L204,Silvio Lanaro,Storia dell'Italia repubblicana (1946-1991),Marsilio,,,0,Storia
L264,Indro Montanelli,Storia di Roma,BUR Biblioteca Univ. Rizzoli,,,0,Storia
L537,Erodoto,Storie. Testo greco a fronte. Vol. 1: Libri I-IV.,Mondadori,,,0,Letteratura
L14,"David Gibson, M. Villa",Street photography. Manuale del fotografo di strada,Il Castello,,,0,Fotografia
L297,Ian Rankin,Strip Jack,Orion Books,,,0,Gialli
